,Indicator,Country,Date,value
276,"Cumulative number of confirmed, probable and suspected Ebola deaths",Mali,2015-03-02,6.0
277,"Cumulative number of confirmed, probable and suspected Ebola cases",Mali,2015-03-02,8.0
278,Cumulative number of confirmed Ebola cases,Nigeria,2015-03-02,19.0
279,Cumulative number of probable Ebola cases,Nigeria,2015-03-02,1.0
280,Cumulative number of suspected Ebola cases,Nigeria,2015-03-02,0.0
281,"Cumulative number of confirmed, probable and suspected Ebola cases",Nigeria,2015-03-02,20.0
282,Cumulative number of confirmed Ebola cases,Senegal,2015-03-02,1.0
283,Cumulative number of probable Ebola cases,Senegal,2015-03-02,0.0
284,Cumulative number of suspected Ebola cases,Senegal,2015-03-02,0.0
285,"Cumulative number of confirmed, probable and suspected Ebola cases",Senegal,2015-03-02,1.0
286,Cumulative number of confirmed Ebola cases,Spain,2015-03-02,1.0
287,Cumulative number of probable Ebola cases,Spain,2015-03-02,0.0
288,Cumulative number of suspected Ebola cases,Spain,2015-03-02,0.0
289,"Cumulative number of confirmed, probable and suspected Ebola cases",Spain,2015-03-02,1.0
290,Cumulative number of confirmed Ebola cases,United States of America,2015-03-02,4.0
291,Cumulative number of probable Ebola cases,United States of America,2015-03-02,0.0
292,Cumulative number of suspected Ebola cases,United States of America,2015-03-02,0.0
293,"Cumulative number of confirmed, probable and suspected Ebola cases",United States of America,2015-03-02,4.0
294,Cumulative number of confirmed Ebola deaths,Nigeria,2015-03-02,7.0
295,Cumulative number of probable Ebola deaths,Nigeria,2015-03-02,1.0
296,Cumulative number of suspected Ebola deaths,Nigeria,2015-03-02,0.0
297,"Cumulative number of confirmed, probable and suspected Ebola deaths",Nigeria,2015-03-02,8.0
298,Cumulative number of confirmed Ebola deaths,Senegal,2015-03-02,0.0
299,Cumulative number of probable Ebola deaths,Senegal,2015-03-02,0.0
300,Cumulative number of suspected Ebola deaths,Senegal,2015-03-02,0.0
301,"Cumulative number of confirmed, probable and suspected Ebola deaths",Senegal,2015-03-02,0.0
